Year,Month,Day,Open,High,Low,Close,Volumn,Return,QPL1,QPL2,QPL3,QPL4,QPL-1,QPL-2,QPL-3,QPL-4
2019,4,12,1.33790000,1.33847000,1.33127000,1.33265000,44064,0.99702982,1.33398868,1.33716527,1.34114338,1.34562118,1.31980386,1.32421041,1.32814998,1.33131266
2019,4,11,1.33109000,1.33953000,1.33109000,1.33844000,45581,1.00434473,1.33978450,1.34297489,1.34697028,1.35146753,1.32553804,1.32996374,1.33392043,1.33709685
2019,4,10,1.33255000,1.33592000,1.33056000,1.33170000,44632,0.99496429,1.33303773,1.33621205,1.34018732,1.34466193,1.31886302,1.32326643,1.32720319,1.33036361
2019,4,9,1.33125000,1.33314000,1.32834000,1.33286000,43782,1.00087107,1.33419889,1.33737598,1.34135471,1.34583322,1.32001183,1.32441908,1.32835927,1.33152245
2019,4,8,1.33822000,1.33858000,1.33042000,1.33129000,47133,0.99882208,1.33262732,1.33580066,1.33977471,1.34424794,1.31845697,1.32285902,1.32679457,1.32995403
2019,4,5,1.33572000,1.34021000,1.33483000,1.33833000,48677,1.00528810,1.33967439,1.34286451,1.34685958,1.35135646,1.32542911,1.32985444,1.33381080,1.33698696
2019,4,4,1.33415000,1.33722000,1.33361000,1.33580000,53195,0.99810958,1.33714185,1.34032594,1.34431345,1.34880184,1.32292349,1.32734046,1.33128934,1.33445950
2019,4,3,1.33360000,1.33528000,1.32957000,1.33411000,56132,0.99873484,1.33545015,1.33863022,1.34261268,1.34709539,1.32124978,1.32566117,1.32960505,1.33277120
2019,4,2,1.33027000,1.33734000,1.33026000,1.33350000,46528,0.99954277,1.33483954,1.33801815,1.34199879,1.34647945,1.32064566,1.32505503,1.32899711,1.33216181
2019,4,1,1.33408000,1.33702000,1.32975000,1.33064000,51116,0.99785527,1.33197666,1.33514846,1.33912057,1.34359161,1.31781323,1.32221314,1.32614676,1.32930468
2019,3,29,1.34365000,1.34421000,1.33413000,1.33519000,57485,1.00341941,1.33653123,1.33971388,1.34369956,1.34818590,1.32231937,1.32673433,1.33068140,1.33385011
2019,3,28,1.34046000,1.34506000,1.33959000,1.34359000,57522,1.00629124,1.34493967,1.34814234,1.35215310,1.35666766,1.33063840,1.33508113,1.33905304,1.34224168
2019,3,27,1.33793000,1.34394000,1.33767000,1.34075000,53753,0.99788626,1.34209682,1.34529271,1.34929500,1.35380002,1.32782578,1.33225911,1.33622263,1.33940453
2019,3,26,1.34028000,1.34139000,1.33716000,1.33793000,55160,0.99789670,1.33927399,1.34246316,1.34645703,1.35095257,1.32503296,1.32945697,1.33341215,1.33658736
2019,3,25,1.34253000,1.34442000,1.33988000,1.34029000,63544,1.00176392,1.34163636,1.34483115,1.34883207,1.35333554,1.32737021,1.33180203,1.33576418,1.33894499
2019,3,22,1.33601000,1.34287000,1.33517000,1.34287000,57666,1.00192496,1.34421895,1.34741990,1.35142851,1.35594065,1.32992534,1.33436569,1.33833547,1.34152241
2019,3,21,1.33041000,1.33995000,1.32753000,1.33627000,52443,0.99508515,1.33761232,1.34079753,1.34478645,1.34927641,1.32338896,1.32780749,1.33175775,1.33492903
2019,3,20,1.33172000,1.33470000,1.32572000,1.33040000,51350,0.99560718,1.33173642,1.33490765,1.33887904,1.34334928,1.31757555,1.32197466,1.32590758,1.32906492
2019,3,19,1.33327000,1.33438000,1.32503000,1.33176000,43814,1.00102225,1.33309779,1.33627225,1.34024770,1.34472252,1.31892244,1.32332605,1.32726298,1.33042355
2019,3,18,1.33313000,1.33651000,1.33012000,1.33334000,44176,1.00118640,1.33467938,1.33785761,1.34183777,1.34631789,1.32048721,1.32489604,1.32883765,1.33200197
2019,3,15,1.33327000,1.33709000,1.32890000,1.33406000,48464,1.00054000,1.33540010,1.33858005,1.34256236,1.34704490,1.32120027,1.32561148,1.32955522,1.33272125
2019,3,14,1.32973000,1.33471000,1.32867000,1.33338000,48687,0.99949028,1.33471942,1.33789774,1.34187803,1.34635828,1.32052682,1.32493579,1.32887751,1.33204193
